Site,Latitude,Longitude
Broxden Park & Ride-Perth,56.38661,-3.4777461
Crown Inn Wynd Car Park-Auchterarder,56.29612,-3.70692
Mill Street-Perth,56.3975639,-3.4304505
Atholl Street Car Park-Dunkeld,56.566234,-3.585712
South Inch Car Park-Perth,56.39522,-3.43139
Canal Street Car Park 3rd floor-Perth,56.3941071,-3.4274487
Canal Street Car Park 3rd floor ,56.3941071,-3.4274487
Leslie Street Car Park-Blairgowrie,56.592312,-3.338503
 Leslie Street Car Park-Blairgowrie,56.592312,-3.338503
Kinross Park and Ride-Kinross,56.20585,-3.432418
Moness Terrace Car Park-Aberfeldy,56.621035,-3.860166
King Street Car Park-Crieff,56.369495,-3.843324
Rie-Achan Road Car Park-Pitlochry,56.703489,-3.73805
Friarton Depot-Perth,56.37509190753503,-3.4268941076784176
Kinross Park and Ride,56.20585,-3.432418
Market Square Alyth,56.6225313,-3.2302876
Canal Street Car Park 3rd floor,56.3941071,-3.4274487
Friarton Depot,56.37509190753503,-3.4268941076784176
South Inch Car Park,56.39522,-3.43139
Broxden Park & Ride,56.38661,-3.4777461
King Street Car Park,56.369495,-3.843324
Canal Street Car Park,56.3941071,-3.4274487
